ID_COMMIT;ID_AUTOR;DATA_COMMIT
000ac1800e620f770f4eb31b5ae908f6167b0ab2;757060;06/07/2022
f2006b647939466f4f403721b8c7816d844c038c;757060;06/07/2022
536ad0c348f2f99009755698f491080757a48221;757060;06/07/2022
9a3b5894f3d5d602948ac8a02e4ee528a49ca3a3;45411113;06/07/2022
6374fd860aeff75e6c9d9d11540c6b22bc7ef175;757060;06/07/2022
b4e615307ee350b58ac9899e3587ce43972b0753;757060;06/07/2022
7aebb1617fc9bced87ab6bc4c317644019b23ce7;45411113;06/07/2022
57c90622e402c929504cc6d6f3de4ebe2a9ffc73;757060;17/04/2022
aaf50b6bca4075f40a3372c291ae8072fb4e9dcf;757060;17/04/2022
26f4aef9ca0b4c998107bf7e2cf1c33c30368d44;757060;17/04/2022
348b28e55fe004b73b5017a02acbfc714456bf26;757060;17/04/2022
c5b23348783dfecc8203446b2dad57c8a55501ff;1123102;17/04/2022
a64970db92b3092547ee055d7121c2963dd155e0;3095424;17/04/2022
75e2ac573e8cd62086a6bc6dc1b8d271e2804391;757060;03/04/2022
5a2987758edc7d413d1248737d9d0d1b65a70450;757060;03/04/2022
4fd847b7a8c7065d88ba0a64b727660190dd45d7;757060;03/04/2022
4211bfc8f15746be4019bba557e29a7ba83d54c5;757060;27/03/2022
f2a813afcfd0dd6e63812ea74c46ecc627f6a6a6;757060;27/03/2022
7a10de889de64c2519f894a84a98030bec5022d9;757060;27/03/2022
e96809208c9d1b1bbe22d605e76985770024de42;3109072;21/02/2021
53d7ee6ad8c60c891571c7085db91831bbc095b4;2541209;21/02/2021
52019f1dda47c3e598aaeaa4ac89d5a574641604;3057843;29/10/2020
0dcaaa689d02dde824029b09ab6aa64ff351ee2e;12818453;27/10/2020
a68ba4763e186d5f6c24af527f9bdddcac2dc14f;2541209;26/10/2020
c1f456813174431c41212f99d9b0056f90f8d14c;17783893;24/10/2020
5d811c8c02b5af82f74f3c9ee084a8cb45fca1e4;70897225;23/10/2020
63f3d52945bc773925b862c61ee7a322d4a33308;12685466;08/10/2020
b7ec8e2ec068e03de4f832f28362675bb9e02261;2541209;06/10/2020
9eebcb6fa2fb7eed215d6e9b15d0728c4b1c825a;2541209;06/10/2020
20a974b317122b85e1ff9a3cd9f1db67ab8f4ad8;2541209;06/10/2020
f5233ee5d44ba20079cd4b389262719bb20e23bd;69837339;05/10/2020
116752cce864f9254111abacc7db25644596595f;509837;30/09/2020
adfaae8051588fcdb9347f0221e5ac1663f3a95c;2541209;22/09/2020
19f4b119a9ac64eff020c8afdbe1f9c62d667699;2541209;22/09/2020
baa0c00b4c5f15048016bde74a4d9e4db93c57c6;2541209;22/09/2020
0d54a2ca33e8544fbeb58c00e84728ab917f6747;10212518;22/09/2020
48aa5f1373839a14314d86d889fdfe1553baf068;4573903;21/09/2020
0c2e3bcacd1b270a8bdf45087c0de3bb06eb2722;40552237;20/09/2020
03c8b42e37e550b7767940c52ce1d3796fe297c0;15774583;19/09/2020
11cd8b4103a1322d8dc5cdd27a207a7344692156;7771079;18/09/2020
e46086b96ea7aac75cc0cdbe942ce4a852fd7073;2726395;16/09/2020
1781e21d4e54515c9533c5adf147f7a8b5e8d774;101252188;15/09/2020
e02ca9358ce5b269884dd56668b5819b1a38fd2a;38439947;15/09/2020
aca41841feababe6b0314abe30baf43bea58c5b5;2541209;15/09/2020
d5ebb4212ffb0d7f2b8475722e5d719d7c316513;1396388;15/09/2020
471d67fe197d34486af93045d14453df901dc74e;197440;15/09/2020
8937591a1df6cf9d26795c6e68d1d6ba85a00318;43415;15/09/2020
e047716131e9f1650504a194b11b5405b098c603;12305993;15/09/2020
0fc14c74bb06fbf861f8aad5a16a376e29920b3b;172584;15/09/2020
a364b34201c16563848d4ef1a4df7f7c58489480;94334;15/09/2020
a3824e36daca9b39dfcf1bcf4e2782b29f7eaafa;21104054;15/09/2020
503219eb470ce0339a53572fb6e5f920591f77d7;1383932;15/09/2020
5bce32405615f3694ceb1b6b011b9510ec1505d1;19147835;15/09/2020
2e91315d5f3b9fc26982d80aed401bbe0445fd43;2541209;13/09/2020
2da40e94deca972c6c54e22a07f471e89d9a9127;2541209;13/09/2020
e566c01f3c077009920891516e88cfa47e51a05f;2541209;13/09/2020
e3fb33c473e493867f0d5e3ed1b68b85c7257aa8;46980357;13/09/2020
db9994d8f8dead38be72e9a8442a3884e78c60b3;2541209;13/09/2020
2ba43e026478fdf2e5a0b7035199fb64fcd035d6;25418853;13/09/2020
ddf5ba6a0e92ca61a8ea59f4bb2f715f9d64c4c6;18244093;13/09/2020
2c0b063b3bf95a285f9b38c173e262b6416c2e7f;1551236;22/07/2020
9d560507e54612cf2fdd84cbaa117337568a384c;3515447;08/07/2020
1811de9d3e2040cc64882b50eaf9e05b4025b465;2541209;24/06/2020
3e1a95b5ef0a505fec567c5b2290fd80e1da18f9;2541209;18/06/2020
ec5b5fe8acad6a6426701dd4f1164125209c0af9;2541209;18/06/2020
83b8b38122c08cb2e4a75869646d3d26b8ec2bd8;2541209;18/06/2020
525c58c9cfc5247ba7e5c6fd5d0c4b752707f0fc;2541209;18/06/2020
b59c241c5f5fdc75e90ef83deedd2bfb01d6acf1;2541209;18/06/2020
