ID_COMMIT;ID_AUTOR;DATA_COMMIT
0a0b0facb16acfbabb7804822ecaf4f4b9dce3d2;7288;13/07/2020
01d33970026fbcdc1610c9eba0989a28733663af;49290172;09/06/2020
fad2f73ef1ef0e829a10df21e2c416a633dbdad4;7288;02/06/2020
6efc102c7e5a549cac14a35b3d76fc864623ad48;7288;02/06/2020
9f64f22573e5e60c5a23ebd611d518ec50a732ad;7288;01/06/2020
08d49a7c199573c416e8ef2a787dde7a13ba6cde;7288;25/05/2020
31722964623eea3122cd18906508ddb564febc8a;7288;13/05/2020
da0ab54e1c4bdacd3008c1c33d19bd17309edad8;47873678;03/04/2020
cb1b04bb50d7e9c729341a29e9d6c4a60977e42c;1894248;13/01/2020
a283cb4e55b9bed21703887039ba90137e51f26f;1894248;10/01/2020
36e2d947997b4b8661fe94a52041c9b7a14054b6;1894248;10/01/2020
ec0f1a8dcdc8862cbf22bdd13f5a109236e1cee1;1894248;10/01/2020
114132117002f7c9c3b9460517d3649b9423ce78;7288;10/01/2020
4e8248d730dfb42ca640c3b897b63294a004b558;1894248;08/01/2020
be71ec28c9b342e96a892c108fede4074d34969a;7288;08/01/2020
699510fd48afc793d125793d97fd1c422cd71f39;7288;08/01/2020
07243f4fe17706cab471eba705b7c1d41cddd09a;7288;07/01/2020
9aa6177591d2a12e3734aae64e6e5b915b2877c7;7288;31/12/2019
0e3c01252e89e15183bf3d8502b658f57404dbb5;7288;31/12/2019
8542540d09f33548d2778612463de451a0b02eb7;7288;31/12/2019
2b666c91f5160af4e4b9c308ddeec81dea68148d;7288;31/12/2019
da8e2930a921f020443549cb8200387ab6fbeca8;7288;29/12/2019
b9211d7ffcedb3ea8e6dd8db529da70cdc906d9e;7288;29/12/2019
1ef877671fc578611c277d64686675b93739baf7;7288;29/12/2019
42ce79b479c5707042037f396e6230ad8874621f;7288;28/12/2019
5da14481bc32f8d4686836262ba218e4af218da3;7288;26/12/2019
bdaa9c8f83eb100182120454e1023a5adff6d34d;7288;25/12/2019
f38e1ae15848492f1ca746c803bbf46193a938af;7288;25/12/2019
e4a26a2cfe730c1b1f7ed4907c49dbda14b434fb;7288;30/11/2019
10a3d932aba2220fcae506ad840d10d4739bdef0;7288;30/11/2019
974393e73731a3931d161b3d5df47cc361a89d1d;7288;30/11/2019
1c53215f8e0f23344a4626d38117d3dc53982f02;7288;30/11/2019
8bfc658d453ecada34a936b7d301b78d9953bc7c;7288;25/12/2019
c4b1a9ba345950ec94526b51a06d1d37ff4f6ac0;7288;17/06/2018
3789743e2eb66b5144f7d6a0efc917ea66313d2a;1894248;21/11/2016
88383c6199b1c201389a27865901f57d03876cdb;1894248;21/11/2016
77e1fb97054af2d97f69646b2cb8e0ac39767047;1894248;21/11/2016
36a2995141f5885e78f374d01c6ca8e72a4bdd34;1894248;01/10/2016
09a48390916a14d52862a55eacf285c1f613da3d;1785589;18/06/2017
b27247529a87344a9eec9b407a62e7089b20edcb;7288;13/09/2018
466ae257a91a88200976e81f0668dc309329e518;7288;02/06/2018
9bbd1ab0a3b6de7da15305cf0529f2a9079441ea;1636886;30/05/2018
c0944903c3f75f5a7eec50ed13244142d87b6e0a;7288;08/03/2018
95fdce45b93ee76396cc4f12c1cdc274fc38128a;10573148;04/08/2016
fc6ac9c33e2138d5f91288a80dda5d7cdb4943ba;7288;26/05/2016
55d3c0f0738f8dc77d719e9725111a7fb8a89657;199095;24/03/2016
7079696db602085ff82882b8cec63fae320716a9;2460695;14/05/2016
d77b8dde0afe430f69c4e03a59d9dc49221eaae2;3112309;14/05/2016
7f65284f6084872721fa59f3a9cd758a66e6f133;7288;06/03/2018
bfccbd65f2855d38b9c8d826813315857b6379b0;366207;18/04/2016
4ef5f2760028f8f0c341bbad3915937587d93b3f;1104874;19/01/2016
0ba7bc8ef6867ff335402e9b58ae8558ca8a54d9;165716;04/02/2016
7d7e5f345b646ef18d23138781ae94197335b342;92050;29/04/2016
d0388371cfda166d97165c1b68182857b954cc83;1894248;07/03/2016
